marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Renault;Captur;26990;2021;42000;essence;14521;83400
Renault;Clio;14990;2021;67237;essence;14525;19100
Audi;A3;17590;2022;27247;essence;351507;78180
Peugeot;2008;28489;2021;18304;essence;1308;83400
Renault;Clio;11990;2022;31978;essence;90;83500
Volkswagen;Tiguan Allspace;20990;2021;99194;essence;151507;31670
Peugeot;2008;16700;2022;679;essence;1308;34500
Citroën;C3;13480;2022;98958;Diesel;1106;37170
Renault;Arkana;9490;2018;106715;hybride;14022;69700
Volkswagen;T-Roc;25490;2022;50741;essence;151507;74600
Renault;Arkana;28980;2024;3817;essence;1602;78700
Audi;Q3;21990;2020;142756;Diesel;351507;54520
Volkswagen;Tiguan;16990;2020;135222;Diesel;201507;38360
Renault;Arkana;21990;2022;81661;hybride;145;13008
Renault;Arkana;24980;2023;20338;essence;14521;77170
Volkswagen;T-Roc;25490;2022;50741;essence;151507;74600
Renault;Arkana;28980;2024;3817;essence;1602;78700
Audi;Q3;21990;2020;142756;Diesel;351507;54520
Volkswagen;Tiguan;16990;2020;135222;Diesel;201507;38360
Renault;Arkana;21990;2022;81661;hybride;145;13008
Renault;Arkana;24980;2023;20338;essence;14521;77170
Renault;Arkana;16999;2024;19376;essence;14022;78190
Renault;Arkana;16990;2021;6233;essence;14022;91310
Renault;Arkana;43900;2021;94058;Diesel;14022;93100
Dacia;Sandero;27980;2022;127800;Diesel;9022;06800
Renault;Arkana;20190;2020;55664;essence;14523;06800
Peugeot;2008;25899;2023;8142;essence;1308;76120
Dacia;Spring;20999;2020;55227;essence;;Super affaire
Mercedes-Benz;GLA;14590;2024;9041;hybride;250;69200
Volkswagen;Tiguan;24990;2019;72998;essence;1515076;67800
Volkswagen;Golf GTI;25990;2020;63017;essence;202457;67500
Audi;Q3;31890;2019;84593;essence;351507;78140
Mercedes-Benz;Classe A;38990;2020;67522;Diesel;220190810;36000
Peugeot;e-3008;20990;2022;45135;essence;300873210;Super affaire
Renault;Megane;24490;2022;64215;Diesel;140;71400
Renault;Captur;13480;2021;111096;Diesel;16021;77170
Peugeot;e-208;19990;2023;34802;essence;50136;69140
Peugeot;3008;17990;2021;83375;hybride;2258;34000
Renault;Arkana;17375;2022;95806;essence;145;35200
Renault;Megane;59900;2021;37802;essence;140;41100
Volkswagen;Golf R;28000;2024;18500;Diesel;203332047;06200
Dacia;Duster;18900;2023;835;essence;14042;52200
Renault;Arkana;17390;2022;59234;essence;14022;91150
Renault;Clio;24500;2024;22704;essence;1614021;85500
Renault;Megane;18490;2023;31460;essence;115;71100
Renault;Arkana;23990;2023;23654;essence;16022;59230
